class,time,fsr1,fsr2,fsr3,fsr4,angle,accx,accy,accz,gyro1,gyro2,gyro3,orient1,orient2,orient3,acc2x,acc2y,acc2z,participant,serialnumber
0,1545950.0,29.0,9.0,0.0,3.0,1427.0,-0.01,-0.09,-0.48,-0.04,-0.02,-0.9,75.69,66.12,82.19,9.06,-3.69,0.22,13,4719
0,1546175.0,29.0,23.0,0.0,0.0,1341.0,-0.1,0.02,0.57,-0.04,-0.17,-0.37,83.75,74.31,83.37,9.34,-2.56,0.85,13,4719
0,1546395.0,28.0,3.0,0.0,6.0,1339.0,-0.45,-0.18,-0.22,0.06,0.02,0.39,83.69,74.19,88.5,8.97,-2.89,-0.15,13,4719
0,1546617.0,42.0,9.0,0.0,1.0,1444.0,0.27,0.09,0.11,0.16,0.1,0.81,74.69,66.06,84.44,9.24,-3.85,0.49,13,4719
0,1546832.0,29.0,0.0,0.0,0.0,1591.0,0.75,0.17,-0.22,0.08,0.07,1.14,62.69,54.88,84.25,8.78,-5.43,0.34,13,4719
0,1547045.0,31.0,283.0,1.0,0.0,1754.0,-0.76,0.03,-0.15,0.08,0.04,1.06,48.19,40.63,83.5,5.55,-7.42,0.68,13,4719
0,1547263.0,31.0,17.0,0.0,2.0,1876.0,-1.26,0.03,0.11,0.06,0.1,0.66,38.06,30.56,82.87,2.72,-8.45,1.2,13,4719
0,1547481.0,27.0,0.0,0.0,3.0,2420.0,0.07,-0.04,0.01,-0.03,0.03,-0.06,36.13,27.5,82.37,4.6,-8.66,1.16,13,4719
0,1547698.0,23.0,6.0,1.0,0.0,2506.0,-0.5,-0.11,0.09,-0.03,0.01,-0.28,37.38,28.44,82.25,4.17,-8.65,1.25,13,4719
0,1547919.0,21.0,1.0,0.0,3.0,2453.0,0.47,0.04,-0.06,-0.07,-0.21,-0.87,43.44,34.88,82.69,6.08,-7.93,0.95,13,4719
0,1548136.0,29.0,10.0,0.0,6.0,1676.0,-0.24,0.2,-0.07,-0.12,-0.04,-1.09,55.63,46.13,82.94,6.9,-6.45,0.74,13,4719
0,1548358.0,44.0,19.0,1.0,2.0,1555.0,-0.52,0.14,0.03,-0.01,-0.04,-0.64,66.19,56.94,81.87,7.7,-5.15,0.79,13,4719
0,1548578.0,24.0,3.0,1.0,3.0,1805.0,0.79,0.23,0.47,-0.07,-0.08,-0.76,75.0,65.75,81.19,9.76,-3.67,1.08,13,4719
0,1548795.0,35.0,0.0,1.0,0.0,1273.0,1.27,0.22,-0.1,-0.14,-0.13,-0.77,84.94,75.31,84.44,10.53,-2.31,0.12,13,4719
0,1549015.0,37.0,0.0,2.0,1.0,1349.0,0.35,-0.08,0.0,0.08,0.02,0.54,85.75,75.81,83.0,9.84,-2.51,0.29,13,4719
0,1549234.0,17.0,21.0,0.0,2.0,1450.0,0.6,0.12,-0.13,0.07,0.06,0.85,76.12,66.62,82.37,9.61,-3.72,0.37,13,4719
0,1549451.0,39.0,0.0,0.0,3.0,1577.0,0.63,0.47,0.15,0.06,0.02,1.18,62.81,53.94,83.69,8.56,-5.25,0.78,13,4719
